,Project ID,Project Title,Budget,Country,Country Code,Link,Donors,VF or Non-VF,Output Count,Project Description
118,129778.0,Community Infrastructure Support (Albania),2611239.0,Albania,ALB,https://open.undp.org/projects/00129778,Government Of Albania; MPTF-SDGs Acceleration Fund for Albania with financing of the Government of Denmark and United Kingdom,Non-VF,1,
119,126861.0,EU4Schools Phase I (Albania),16955148.23,Albania,ALB,https://open.undp.org/projects/00126861,European Commision,Non-VF,1,
120,129706.0,EU4Schools Phase II (Albania),67752565.21,Albania,ALB,https://open.undp.org/projects/00129706,European Commision,Non-VF,2,
121,115727,Upper Nile University,124570.12,South Sudan,SSD,,Japan,Non-VF,1,
122,"00080877, 00097821, 00080982, 00109097",UNDP Country Office ,518743.75,South Sudan,SSD,,UNDP,Non-VF,1,
123,93664,State Revenue Authority (SRA),246584.79,South Sudan,SSD,,UNDP,Non-VF,1,
124,104022,Police Office Training Facility,186391.71,South Sudan,SSD,,UNDP,Non-VF,2,
125,101178,Ministry of Local Government and Law Enforcement ,149770.73,South Sudan,SSD,,UNDP,Non-VF,1,
126,"00104634, 00104636","Disarmament, Demobilization and Reintegration (DDR)",118418.0,South Sudan,SSD,,UNDP,Non-VF,1,
127,125900, Global Fund Project - Solar for Health,6268828.8,South Sudan,SSD,,UNDP,Non-VF,1,
128,95405.0,EE in Public Buildings,5480000.0,Ukraine,UKR,https://www.undp.org/ukraine/projects/removing-barriers-increase-investment-energy-efficiency-public-buildings-ukraine-through-esco-modality-small-and-medium-sized,GEF,VF,1,
129,1000157.0,Promotion of Human Security ,40000000.0,Ukraine,UKR,https://www.undp.org/ukraine/press-releases/undp-and-japan-deliver-high-power-autotransformers-ukraine-ensure-unbroken-energy-supplies-over-half-million-people,Japan,Non-VF,3,
130,134106.0,Winterization/Green Energy Recovery Programme,64600000.0,Ukraine,UKR,"https://www.undp.org/ukraine/projects/green-energy-recovery-programme-ukraine

https://www.undp.org/ukraine/press-releases/gas-piston-cogeneration-units-delivered-odesa-undp-cover-45-citys-energy-needs-water-heating-and-sewage-services 
",Japan,Non-VF,12,
131,1003605.0,Crisis response for securing reliable energy access in Ukraine (FPI Energy),7013409.812000001,Ukraine,UKR,,EU,Non-VF,4,
132,142763.0,PDL-145 Territoires,619829499.0,Dem. Rep. of the Congo,COD,https://open.undp.org/projects/00142763,DRC Gov,Non-VF,4,
133,127148.0,Projet Green Energy post COVID 19 : “Accès à l’énergie verte pour atténuer les impacts de la COVID-19,900000.0,Dem. Rep. of the Congo,COD,https://www.dropbox.com/scl/fi/l3y63sswt3thpkl4jf7j0/Prodoc-en-francais_Pour-Signature_DK.docx?rlkey=5c6x4qy6za2w8qvn7ct62q3w1&dl=0,PNUD,VF,6,
134,4690.0,Congo Kinshasa Microhydro,3187669.0,Dem. Rep. of the Congo,COD,PIMS+,GEF,VF,3,
135,101442.0,Programme de Consommation Durable et Substitution partielle au bois énergie (Programme Energie-Fonaredd),15000000.0,Dem. Rep. of the Congo,COD,https://open.undp.org/projects/00101442,CAFI,Non-VF,3,
136,107168.0,Programme Environnement et Gest. Durable du Capital Nat,5628899.0,Guinea,GIN,http://open.undp.org/projects/00107168,UNDP,Non-VF,7,
137,107166.0,Gestion Intégrée des Ressources Naturelles,7460274.0,Guinea,GIN,https://open.undp.org/projects/00107166,"GEF
UNDP",VF,1,
138,135006,Libyan electricity & water sector stabilization support,655444.0,Libya,LBY,http://open.undp.org/projects/00135006,EU,Non-VF,1,
139,92045.0,Hydrogen Economy Pilot Project,11659101.0,China,CHN,http://open.undp.org/projects/00092045,Gov. of China,Non-VF,3,
140,119001.0,UNDP-China Greater Bay Area Hydrogen Economy Vocational,7358188.0,China,CHN,http://open.undp.org/projects/00119001,Gov. of China,Non-VF,2,
141,119439.0,Trilateral cooperation on Renewable Energy in Ethiopia,439401.0,China,CHN,http://open.undp.org/projects/00119439,Gov. of China,Non-VF,2,
142,6618.0,PhosChemEE,9343379.0,China,CHN,https://co.pims.undp.org/project/view?id=6618,GEF,VF,2,
143,6431.0,EZCERTV,8932420.0,China,CHN,https://co.pims.undp.org/project/view?id=6431,GEF,VF,2,
144,5395.0,Public Sector Buildings EE (PSBEE),8932420.0,China,CHN,https://co.pims.undp.org/project/view?id=5395,GEF,VF,1,
145,144123.0,UNDP-NIO CLEAN PARK PROJECT,697979.0,China,CHN,https://open.undp.org/projects/00144123,,Non-VF,1,
146,141744.0,JSB - Net Zero Emissions,1100000.0,Maldives,MDV,https://open.undp.org/projects/00141744,Gov. of Japan,Non-VF,3,
147,94293.0,GCF-Managing Climate Change Induced Water Shortages,23636364.0,Maldives,MDV,https://open.undp.org/projects/00094293,GCF,VF,3,
148,142132.0,Project For Developing Sustainable Agricultural Economy,2500000.0,Maldives,MDV,https://open.undp.org/projects/00142132,Gov. of Japan,Non-VF,18,
149,119917,Promesa Climática – Del Compromiso al Impacto – Bolivia - ENERGIA,216000.0,Bolivia,BOL,,,Non-VF,2,
150,1000736,Promover la prevención de conflictos para la justicia ambiental en Bolivia - Sistema Paisaje Litio,500000.0,Bolivia,BOL,,,Non-VF,1,
151,48025.0,Mainstreaming Green Environmental Development,29752153.0,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00048025,,Non-VF,2,
152,105415.0,Green Economic Development Phase II,18383776.0,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00105415,,Non-VF,1,
153,131266.0,Green Deal,614042.0,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00131266,,Non-VF,2,
154,132013.0,Green Economic Development Project – III Phase,16726410.0,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00132013,,Non-VF,3,
155,132014.0,Decarbonzation of Residential Sector in Bosnia and Her,1771084.0,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00132014,,Non-VF,4,
156,141105.0,Inclusive Decarbonization Activity IDA,821580.0,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00141105,,Non-VF,2,
157,5882.0,De-Risking and Scaling-up Investment in EE,17346000.0,Bosnia and Herzegovina,BIH,https://co.pims.undp.org/project/view?id=5882,GCF,VF,3,
158,5646.0,Catalyzing Env.Fin. for Low-Carbon Urban Dev,2370000.0,Bosnia and Herzegovina,BIH,PIMS+,"GEF
BIH Government",VF,2,
159,125245.0,Energía y Desarrollo Humano,67499.0,Paraguay,PRY,http://open.undp.org/projects/00125245,Trac Funds,Non-VF,1,
160,5188.0,Asunción Green City,7493120.0,Paraguay,PRY,PIMS+,GEF,VF,2,
161,6510.0,National child project under the GEF African Minigrid Program,924566.0,Burkina Faso,BFA,PIMS+,GEF,VF,7,
